Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
R3.1_P1-1+P1-2_MT_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.299791439245256,1-1
R3.1_P1-1+P1-2_MT_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.271667700102011,1-1
R3.1_P1-1+P1-2_MT_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2324528375135718,1-1
R3.1_P1-1+P1-2_MT_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2605369451390208,1-1
R3.1_P1-1+P1-2_MT_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.3051933182143827,1-1
R3.1_P1-1+P1-2_MT_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2747328617909763,1-1
R3.1 P1-1+P1-2_Total_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2605687439005249,1-1
R3.1 P1-1+P1-2_Total_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2515007002160231,1-1
R3.1 P1-1+P1-2_Total_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2301645489372215,1-1
R3.1 P1-1+P1-2_Total_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2741939683077324,1-1
R3.1 P1-1+P1-2_Total_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2839542141251348,1-1
R3.1_P1-1+P1-2_WT_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.3413195974559839,1-1
R3.1_P1-1+P1-2_WT_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2770512387923837,1-1
R3.1_P1-1+P1-2_WT_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.3553623058224188,1-1
R3.1_P1-1+P1-2_WT_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.243145022904002,1-1
R3.1_P1-1+P1-2_WT_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.3134503075678251,1-1
R3.1_P1-1+P1-2_WT_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.3182255056118566,1-1
R3.1_P1-1+P1-2_MT_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.5550464753222583,1-1
R3.1_P1-1+P1-2_MT_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.5084477435735492,1-1
R3.1_P1-1+P1-2_MT_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.5891175070088949,1-1
R3.1_P1-1+P1-2_MT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_MT_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.2951134587163703,1-1
R3.1_P1-1+P1-2_MT_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.2161000860550749,1-1
R3.1 P1-1+P1-2_Total_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.6532535953052235,1-1
R3.1 P1-1+P1-2_Total_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.7249904580968043,1-1
R3.1 P1-1+P1-2_Total_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.7503308611904412,1-1
R3.1 P1-1+P1-2_Total_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.2283826280648209,1-1
R3.1 P1-1+P1-2_Total_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,1.3427480281953614,1-1
R3.1_P1-1+P1-2_WT_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.5134002961987287,1-1
R3.1_P1-1+P1-2_WT_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.652309377156459,1-1
R3.1_P1-1+P1-2_WT_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.6297205277883321,1-1
R3.1_P1-1+P1-2_WT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_WT_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.2359261647632869,1-1
R3.1_P1-1+P1-2_WT_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.40071064692702,1-1
R3.1_P1-1+P1-2_MT_20210826,G13,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_MT_20210826,G14,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.1879661774687358,1-1
R3.1_P1-1+P1-2_MT_20210826,G15,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_MT_20210826,G16,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.1758291031274692,1-1
R3.1_P1-1+P1-2_MT_20210826,G17,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.2991889902478322,1-1
R3.1_P1-1+P1-2_MT_20210826,G18,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.135628170161107,1-1
R3.1_P1-1+P1-2_MT_20210826,H7,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.8037724823633333,1-1
R3.1_P1-1+P1-2_MT_20210826,H8,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.017010780296142,1-1
R3.1_P1-1+P1-2_MT_20210826,H9,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.8478267093050468,1-1
R3.1_P1-1+P1-2_MT_20210826,H10,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.729855325742179,1-1
R3.1_P1-1+P1-2_MT_20210826,H11,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.6900583204179529,1-1
R3.1_P1-1+P1-2_MT_20210826,H12,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7363357596403827,1-1
R3.1 P1-1+P1-2_Total_20210826,G14,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,G15,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,G17,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,G18,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.4910495271676243,1-1
R3.1 P1-1+P1-2_Total_20210826,H7,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7745224787391094,1-1
R3.1 P1-1+P1-2_Total_20210826,H8,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.831784738061519,1-1
R3.1 P1-1+P1-2_Total_20210826,H9,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7299933736654022,1-1
R3.1 P1-1+P1-2_Total_20210826,H10,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7089017191765217,1-1
R3.1 P1-1+P1-2_Total_20210826,H11,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.6000268476308095,1-1
R3.1 P1-1+P1-2_Total_20210826,H12,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.6778291098170491,1-1
R3.1_P1-1+P1-2_WT_20210826,G13,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.4204464229547664,1-1
R3.1_P1-1+P1-2_WT_20210826,G14,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7364630785137308,1-1
R3.1_P1-1+P1-2_WT_20210826,G15,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.3568935139727534,1-1
R3.1_P1-1+P1-2_WT_20210826,G16,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.219400652971483,1-1
R3.1_P1-1+P1-2_WT_20210826,G17,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.1529559401704583,1-1
R3.1_P1-1+P1-2_WT_20210826,G18,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.0671470200242743,1-1
R3.1_P1-1+P1-2_WT_20210826,H7,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.8406072712076987,1-1
R3.1_P1-1+P1-2_WT_20210826,H8,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.0408588471084446,1-1
R3.1_P1-1+P1-2_WT_20210826,H9,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,1.0711168443402963,1-1
R3.1_P1-1+P1-2_WT_20210826,H10,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7572364604593832,1-1
R3.1_P1-1+P1-2_WT_20210826,H11,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.7969578268996084,1-1
R3.1_P1-1+P1-2_WT_20210826,H12,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,0.8302450983800861,1-1
R3.1_P1-1+P1-2_MT_20210826,G1,Naive_R3.1P1-1,Naive_R3.1P1-1,1.3878386228260615,1-1
R3.1_P1-1+P1-2_MT_20210826,G2,Naive_R3.1P1-1,Naive_R3.1P1-1,1.495584714893487,1-1
R3.1_P1-1+P1-2_MT_20210826,G3,Naive_R3.1P1-1,Naive_R3.1P1-1,1.429243423427994,1-1
R3.1_P1-1+P1-2_MT_20210826,G4,Naive_R3.1P1-1,Naive_R3.1P1-1,1.45960135143598,1-1
R3.1_P1-1+P1-2_MT_20210826,G5,Naive_R3.1P1-1,Naive_R3.1P1-1,1.432135702187574,1-1
R3.1_P1-1+P1-2_MT_20210826,G6,Naive_R3.1P1-1,Naive_R3.1P1-1,1.399054566145553,1-1
R3.1_P1-1+P1-2_MT_20210826,H16,Naive_R3.1P1-1,Naive_R3.1P1-1,1.4366551283538915,1-1
R3.1_P1-1+P1-2_MT_20210826,H17,Naive_R3.1P1-1,Naive_R3.1P1-1,1.5387938638525671,1-1
R3.1_P1-1+P1-2_MT_20210826,H18,Naive_R3.1P1-1,Naive_R3.1P1-1,1.4534823190147057,1-1
R3.1 P1-1+P1-2_Total_20210826,H13,Naive_R3.1P1-1,Naive_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_WT_20210826,G6,Naive_R3.1P1-1,Naive_R3.1P1-1,1.535685764956808,1-1
R3.1_P1-1+P1-2_WT_20210826,H15,Naive_R3.1P1-1,Naive_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_MT_20210826,O7,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.3364020609264847,1-2
R3.1_P1-1+P1-2_MT_20210826,O8,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.2805345087666105,1-2
R3.1_P1-1+P1-2_MT_20210826,O9,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.203355279599352,1-2
R3.1_P1-1+P1-2_MT_20210826,P1,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.2670079545284649,1-2
R3.1_P1-1+P1-2_MT_20210826,P2,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.1872566470788377,1-2
R3.1_P1-1+P1-2_MT_20210826,P3,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.1483940215061935,1-2
R3.1 P1-1+P1-2_Total_20210826,O7,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.0988836762248979,1-2
R3.1 P1-1+P1-2_Total_20210826,O8,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.126089458688766,1-2
R3.1 P1-1+P1-2_Total_20210826,O9,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.1244880355734048,1-2
R3.1 P1-1+P1-2_Total_20210826,P1,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.0410138566098913,1-2
R3.1 P1-1+P1-2_Total_20210826,P2,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.0631476228669112,1-2
R3.1 P1-1+P1-2_Total_20210826,P3,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.0690201534354436,1-2
R3.1_P1-1+P1-2_WT_20210826,O7,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.4590398799040752,1-2
R3.1_P1-1+P1-2_WT_20210826,O8,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.3936895955645623,1-2
R3.1_P1-1+P1-2_WT_20210826,O9,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.3460579451944348,1-2
R3.1_P1-1+P1-2_WT_20210826,P1,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.3473275489120689,1-2
R3.1_P1-1+P1-2_WT_20210826,P2,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.2387451640680278,1-2
R3.1_P1-1+P1-2_WT_20210826,P3,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,0.2221084705888665,1-2
R3.1_P1-1+P1-2_MT_20210826,O10,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.8976861599215777,1-2
R3.1_P1-1+P1-2_MT_20210826,O11,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,1.0131603376948366,1-2
R3.1_P1-1+P1-2_MT_20210826,O12,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.9627660935901092,1-2
R3.1_P1-1+P1-2_MT_20210826,P4,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.8029210476219839,1-2
R3.1_P1-1+P1-2_MT_20210826,P5,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.7460120232828051,1-2
R3.1_P1-1+P1-2_MT_20210826,P6,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.7948352944110789,1-2
R3.1 P1-1+P1-2_Total_20210826,O10,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.596262163356195,1-2
R3.1 P1-1+P1-2_Total_20210826,O11,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.6092934695575416,1-2
R3.1 P1-1+P1-2_Total_20210826,O12,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.6028073890931033,1-2
R3.1 P1-1+P1-2_Total_20210826,P4,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.629994597891924,1-2
R3.1 P1-1+P1-2_Total_20210826,P5,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.3687894823819809,1-2
R3.1 P1-1+P1-2_Total_20210826,P6,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.3966356114988043,1-2
R3.1_P1-1+P1-2_WT_20210826,O10,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,1.3819532054164687,1-2
R3.1_P1-1+P1-2_WT_20210826,O11,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,1.2644750104971505,1-2
R3.1_P1-1+P1-2_WT_20210826,O12,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,1.2454304736761357,1-2
R3.1_P1-1+P1-2_WT_20210826,P4,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,0.980744164375259,1-2
R3.1_P1-1+P1-2_WT_20210826,P5,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,1.0330778700243233,1-2
R3.1_P1-1+P1-2_WT_20210826,P6,Ionis1375651_3_R3.1P1-2,Ionis1375651_3uM_R3.1P1-2,1.0125081912401577,1-2
R3.1_P1-1+P1-2_MT_20210826,O13,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1_P1-1+P1-2_MT_20210826,O14,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1_P1-1+P1-2_MT_20210826,O15,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.4793595083420569,1-2
R3.1_P1-1+P1-2_MT_20210826,O16,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.080764738416437,1-2
R3.1_P1-1+P1-2_MT_20210826,O18,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.4848239201294591,1-2
R3.1_P1-1+P1-2_MT_20210826,P7,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.0377390033571037,1-2
R3.1_P1-1+P1-2_MT_20210826,P8,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.9290765621618527,1-2
R3.1_P1-1+P1-2_MT_20210826,P9,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.6672342214919058,1-2
R3.1_P1-1+P1-2_MT_20210826,P11,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.526139491702824,1-2
R3.1 P1-1+P1-2_Total_20210826,O13,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1 P1-1+P1-2_Total_20210826,O17,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.788563143723775,1-2
R3.1 P1-1+P1-2_Total_20210826,O18,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.0188372236111876,1-2
R3.1 P1-1+P1-2_Total_20210826,P7,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.2489023147009553,1-2
R3.1 P1-1+P1-2_Total_20210826,P8,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.1856168298854159,1-2
R3.1 P1-1+P1-2_Total_20210826,P9,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.171554656982292,1-2
R3.1 P1-1+P1-2_Total_20210826,P10,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.4100109622280728,1-2
R3.1 P1-1+P1-2_Total_20210826,P11,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1_P1-1+P1-2_WT_20210826,O13,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1_P1-1+P1-2_WT_20210826,O14,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1_P1-1+P1-2_WT_20210826,O15,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,1-2
R3.1_P1-1+P1-2_WT_20210826,O16,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.4345096919163496,1-2
R3.1_P1-1+P1-2_WT_20210826,O17,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.7942862566707437,1-2
R3.1_P1-1+P1-2_WT_20210826,O18,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.2092020714718097,1-2
R3.1_P1-1+P1-2_WT_20210826,P7,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.0422704421332576,1-2
R3.1_P1-1+P1-2_WT_20210826,P8,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,1.0617227158963105,1-2
R3.1_P1-1+P1-2_WT_20210826,P9,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.8186205170533091,1-2
R3.1_P1-1+P1-2_WT_20210826,P10,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.4678791584818211,1-2
R3.1_P1-1+P1-2_WT_20210826,P12,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,0.3434054218130536,1-2
R3.1_P1-1+P1-2_MT_20210826,P13,Naive_R3.1P1-2,Naive_R3.1P1-2,,1-2
R3.1 P1-1+P1-2_Total_20210826,O1,Naive_R3.1P1-2,Naive_R3.1P1-2,1.3092847987745615,1-2
R3.1 P1-1+P1-2_Total_20210826,O2,Naive_R3.1P1-2,Naive_R3.1P1-2,1.2674470296576286,1-2
R3.1 P1-1+P1-2_Total_20210826,O3,Naive_R3.1P1-2,Naive_R3.1P1-2,1.1881078743381217,1-2
R3.1 P1-1+P1-2_Total_20210826,O4,Naive_R3.1P1-2,Naive_R3.1P1-2,1.1847990164817808,1-2
R3.1 P1-1+P1-2_Total_20210826,O5,Naive_R3.1P1-2,Naive_R3.1P1-2,1.1105036947001368,1-2
R3.1 P1-1+P1-2_Total_20210826,O6,Naive_R3.1P1-2,Naive_R3.1P1-2,1.2166280551558066,1-2
